headline,url,date
"Christopher de Souza, Xie Yao Quan to be nominated as Deputy Speakers of Parliament",https://www.straitstimes.com/singapore/politics/christopher-de-souza-xie-yao-quan-to-be-nominated-as-deputy-speakers-of-parliament,
Opening of 15th Parliament: MPs give their take on pressing concerns of the day,https://www.straitstimes.com/singapore/politics/opening-of-15th-parliament-mps-give-their-take-on-pressing-concerns-of-the-day,
"Singapore’s success will never be measured by economic growth alone, says President Tharman",https://www.straitstimes.com/singapore/politics/singapores-success-will-never-be-measured-by-economic-growth-alone-says-president,
"Keep social mobility alive, maintain unity in Singapore: President Tharman",https://www.straitstimes.com/singapore/politics/keep-social-mobility-alive-maintain-unity-in-singapore-tharman,
"Singapore can compete on speed, ingenuity and trust: President Tharman",https://www.straitstimes.com/singapore/politics/spore-can-compete-on-speed-ingenuity-and-trust-mr-tharman,
WP will play its part to raise the standing of Singapore’s Parliament: Pritam Singh,https://www.straitstimes.com/singapore/politics/wp-will-play-its-part-to-raise-standing-of-singapores-parliament-pritam-singh,
"Parliament not a live stream on TikTok, resist playing to gallery: Speaker Seah Kian Peng",https://www.straitstimes.com/singapore/politics/parliament-not-a-livestream-on-tiktok-resist-playing-to-gallery-speaker-seah-kian-peng,
Recap: S’pore’s 15th Parliament opens,https://www.straitstimes.com/singapore/politics/live-spores-15th-parliament-opens,
"Cost of living, jobs, S’pore’s future set to be on agenda when Parliament opens on Sept 5: Experts",https://www.straitstimes.com/singapore/politics/cost-of-living-jobs-spores-future-to-be-on-the-agenda-when-parliament-opens-on-sept-5-experts,
"Security checks, road closures for Parliament opening on Sept 5",https://www.straitstimes.com/singapore/security-checks-road-closures-for-parliament-opening-on-sept-5,
